経産省前テントひろば・反原発美術館がオープンします！,2015-12-01,"2015年12月5日（土）、東京・霞が関に新たな名所が誕生します！　2011年9月11日に、経産省管理のポケットパーク内に建てられた、「経産省前テントひろば」。脱原発を願う市民が情報発信をし、交流する場として、4年以上存在し続けています。経産省から立ち退き裁判を起こされ、2015年10月、高裁で「控訴棄却」の判決が出ました。いつ、撤去されてもおかしくない「経産省前テントひろば」が、脱原発の活動を続けるアーティストたちの手により、「反原発美術館」としてオープンします！　オープニング・イベントをはじめ、様々な企画が予定されています。私はこの美術館の企画責任者・コーディネーターとして参加しています。詳細は<a href=""http://brianandco.cocolog-nifty.com/blog/2015/12/jp-5784.html"" target=""_blank"">こちら</a> をご覧ください。皆様"
『ブライアンと仲間たち』上映＆イギリスとスカイプ中継！,2015-12-01,"2015年12月12日（土）、経産省前テントひろば・反原発美術館にて、『ブライアンと仲間たち』を上映します。上映後にはなんと、イギリスの国会前で座り込みの反戦運動を続ける、映画にも登場する人たちと、スカイプでつなぎ、ディスカッションを予定しています！！（通訳あり）。日英の「座り込み」、いったいどんな話が飛び出すでしょうか？　詳細は<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a> をご覧ください。"
『FOUR YEARS ON』（あれから4年）、三鷹いのちと平和映画祭で上映されます！,2015-10-28,"2015年11月29日（日）、三鷹いのちと平和映画祭にて、281_Anti nukeさんを追ったドキュメンタリー『FOUR YEARS ON』（あれから4年）が上映されます。上映後、監督トークあり。他に、『うまれる ずっと、いっしょ。』、『小さき声のカノン - 選択する人々』も上映されます。同日のプログラム終了後、18時からは同会場にて懇親会。是非ご参加ください♪ 詳しくは<a href=""http://www.mitakaff.com/dai7kaieigasyousai.html"" target=""_blank"">こちら</a>をご覧ください。"
『木田さんと原発』、東京･神楽坂で上映＆木田節子さんトークあり！,2015-10-06,"2015年10月25日（日）、『木田さんと原発、そして日本』が、東京･神楽坂の「SCATセミナールーム」にて上映されます。当日は、木田節子さんと監督のトーク、『FOUR YEARS ON』の上映、石川テレビ制作の 『川柳人鶴彬　今に伝わるメッセージ』上映もあります。交流会のお食事は「Loca☆Kitchen」さん！　10月23日までの事前予約制です。詳しくは<a href=""http://petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
『ブライアンと仲間たち』、埼玉県毛呂山町で上映！,2015-09-04,"2015年11月22日（日）、『ブライアンと仲間たち』が、埼玉県入間郡毛呂山町の「SCATセミナールーム毛呂分室」にて上映されます。SCAT毛呂分室のプレオープンイベントとして、映画上映の他、砂川事件元被告・土屋源太郎さんの講演、東京琉球館の島袋陽子さんの講演などが予定されています。詳しくは<a href=""http://petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
10月開講！ 3分ビデオ講座、受講生募集！,2015-08-07,"立川の市民センター・シビルにて、2015年10月より3分ビデオ講座を開講します！ 全6回で、撮影の基礎から編集、ネット公開までをマスター。初心者の方大歓迎。機材の用意不要です。定員15名。ご興味のある方は是非！ 詳細は<a href=""http://brianandco.cocolog-nifty.com/blog/2015/08/jp-103-3daa.html"" target=""_blank"">こちら</a>をご覧ください。"
「男女共同参画推進フォーラム」にてメディア･ワークショップを行います！,2015-08-06,"2015年8月22日（土）10:00～、埼玉県比企郡嵐山のNWEC（国立女性教育会館）にて開催される、「男女共同参画推進フォーラム」で、メディア･ワークショップを行います。どなたでも参加出来ます。定員150名。主催はNWECアーキビストの会。詳細は<a href=""http://brianandco.cocolog-nifty.com/blog/2015/08/jp-4dde.html"" target=""_blank"">こちら</a>をご覧ください。"
8/16韓国ドキュメンタリー映画祭開催！！,2015-08-06,"2015年8月16日（日）17:00～、東京･神楽坂のスキャット･セミナー･ルームにて韓国ドキュメンタリー映画祭を開催します！　韓国のドキュメンタリー界を代表する、二人の監督の作品を上映＆両監督も来場！　詳しくは<a href=""http://brianandco.cocolog-nifty.com/blog/2015/08/jp-816-ee86.html"" target=""_blank"">こちら</a>をご覧ください。"
『ブライアンと仲間たち』、熊本で上映されます！,2015-07-27,"2015年7月30日（木）13:00～、『ブライアンと仲間たち』が熊本県上益城郡の、益城エリムキリスト教会にて上映されます。参加費無料。主催はくまもと障害者9条の会。詳細は<a href=""http://petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
『Four Years On（あれから4年）』、第29回福岡アジア映画祭で上映されます!,2015-06-16,"2015年7月12日（日）、福岡で開催される<a href=""http://asianfilm.tank.jp/"" target=""_blank"">第29回福岡アジア映画祭</a>にて、『Four Years On（あれから4年）』が上映されます。『Oh Lucy!』、『なるしまフレンド』と一緒のプログラムで上映されます（3本立て♪）。福岡近辺にお住まいの方は是非! 詳しくは<a href=""http://petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
インド報告会、渋家（東京・渋谷）にて開催します！,2015-03-24,"2015年4月12日（日）、若手クリエイターが多く暮らす刺激的なシェアハウス・渋家主催にて、インドの報告会を開催します！　インドの映画祭、最新社会事情、驚きの社会運動、その他アジアの映画監督事情などなど、沢山の写真と共にお話します！ インド風の飲食つきです♪ 詳しくは<a href=""http://petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。※要事前予約、定員15名。"
インド報告会、dislocate（東京・杉並）にて開催します！,2015-03-17,"2015年3月29日（日）、dislocate主催にて、インドの報告会を開催します！　会場は「あなたの公差転」（杉並区善福寺）。インドの映画祭、最新社会事情、驚きの社会運動などなど、沢山の写真と共にお話します！　詳しくは<a href=""http://petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
インド報告会、経産省前テントひろばで開催します！,2015-03-14,"2015年3月15日（日）17:00～、インドの報告会を経産省前テント広場で行います。インドの映画祭、最新社会事情、驚きの社会運動などなど、沢山の写真と共にお話します！ インドのお土産（お菓子）もありますよ～！ 詳しくは<a href=""http://petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
"Latest film ""FOUR YEARS ON"" released on YouTube!",2015-03-11,"The Japan's most ""radical"" graffiti artist, 281_Anti nuke's documentary film, ""FOUR YEARS ON"" released on YouTube! The artist has been vigorously criticizing TEPCO and the Japanese government on the streets in Shibuya, Tokyo. Today is just four years after the Great East Japan Earthquake and Fukushima Nuclear Power Plant disaster on 11th March 2011. Watch the film with English subtitles from <a href=""http://youtu.be/FZIVBCxu7_w"" target=""_blank"">here</a>!"
最新作『FOUR YEARS ON』（あれから4年）をネット公開！,2015-03-10,"今、日本で最も“過激”なストリート・アーティスト、281_Anti nukeを追ったドキュメンタリー映画、『FOUR YEARS ON』（あれから4年）。本日より、英語字幕つきでYouTubeに公開しました！！　映画の詳細＆視聴は<a href=""http://brianandco.cocolog-nifty.com/blog/2015/03/jp-281_anti-nuk.html"" target=""_blank"">こちら</a>をご覧ください。"
東日本大震災直後の仙台市荒浜の映像、アイルランド・ダブリンで上映されます！,2015-03-09,"2015年3月8日（日）～11日（日）、アイルランド・ダブリンのYamamori Sushi内TENGUにて、東日本大震災、福島第一原子力発電所事故、復興へ向けた経緯、現在の被災地の様子を伝える、「かける」プロジェクトが開催されます。私が制作した、東日本大震災直後の仙台市荒浜の映像も上映されます。詳しくは<a href=""http://petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
【予告】311直前、最新作『FOUR YEARS ON』をネット公開！,2015-02-22,"先日、原発に反対する経産省前テントひろばにてプレミア上映を行い、話題となった最新作『FOUR YEARS ON』（あれから4年）。今、日本で最も“過激”なストリート・アーティストの281_Anti nukeを追ったドキュメンタリー映画です。東日本大震災から丸4年となる3月11にあわせ、311直前にネットにて最新作を公開します！ 映画の詳細と先日のプレミア上映の様子は<a href=""http://brianandco.cocolog-nifty.com/blog/2015/02/jp-281_anti-nuk.html"" target=""_blank"">こちら</a>をご覧ください。"
2月20日（金）夜、最新作『FOUR YEARS ON』プレミア上映します！！,2015-02-17,"2月20日（金）夜、霞が関の経産省前テントひろばにて、最新作『FOUR YEARS ON』のプレミア上映会をやります。日本で今、最も過激なストリート・アーティストとして知られる「281_Anti nuke」を追った作品。映画は20分で、18:30頃～、19時台～、20時台～の合計3回上映予定。映画とプレミア上映会の詳細は<a href=""http://brianandco.cocolog-nifty.com/blog/2015/02/jp-four-years-o.html"" target=""_blank"">こちら</a>をご覧ください。皆さまのご来場、お待ちしております！！"
シェアハウスをテーマにしたラジオ番組「リバ邸原宿～ドロップアウト by Liverty シーズン2～」に出演します！,2015-02-08,"2015年2月8日（日）18:00～19:00、白濱優子さんがパーソナリティーを務めるラジオ番組、「リバ邸原宿～ドロップアウト by Liverty シーズン2～」に出演させていただきます。お時間のある方は是非お聴きくださいね！　ご視聴は<a href=""https://www.soraxniwa.com/tickets/a7b72630"" target=""_blank"">こちら</a>から。"
『乙女ハウス』、東久留米市男女平等推進センターで上映されます！,2015-02-06,"2015年3月7日（土）、東久留米市の男女平等推進センターで『乙女ハウス』の上映とトークがあります。市の男女平等推進センター主催のイベントで、講座と映画上映を通して「『住まいのカタチ』から暮らし方を考える」というもの。第1部では、NPOコレクティブハウジング社・共同代表理事の宮前眞理子さんが、「コレクティブハウスという住まい方」について講演し、第2部では映画『乙女ハウス』上映と、監督＆乙女ハウス元オーナーの千野紀美子さんによるトークとなっています。入場は無料ですが、定員24名、先着申込順となっていますので、是非お早めにお申し込みください♪　詳しくは<a href=""http://petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
『踊る善福寺』（英語字幕版）、第11回アジア女性映画祭（インド・ニューデリー）で上映されます！,2015-01-21,"2015年3月3日～5日、インド・ニューデリーで開催される第11回アジア女性映画祭で、3月4日（水）『踊る善福寺』が上映されます。映画祭のホームページは<a href=""http://iawrtindia.blogspot.in/"" target=""_blank"">こちら</a>です。監督も初めてインドに渡り、映画祭で質疑応答をします！！"
『木田さんと原発、そして日本』（ドイツ語字幕付版）がHALBWERTSZEIT映画祭（スイス）で上映されます！,2015-01-21,"2015年3月12日、スイス・チューリッヒで開催されるHALBWERTSZEIT映画祭で、『木田さんと原発、そして日本』のドイツ語字幕付版が上映されます！詳しくは<a href=""http://petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
『ブライアンと仲間たち』、第5回アムネスティ映画祭で上映されます！,2014-12-16,"2015年1月25日（日）、『ブライアンと仲間たち』が新橋のヤクルトホールで上映されます。第5回アムネスティ映画祭のプログラムとして上映され、上映後には監督トークも予定されています。本邦初公開作品、劇場未公開作品、普段はなかなか観ることのできない作品など、貴重な映画がたくさん観られる2日間。ぜひご来場ください！　詳しくは<a href=""http://petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
11月2日（日）ドキュメンタリー映画『無知の知』、ゲストトークに出演します！,2014-10-29,"2014年11月2日（日）、ポレポレ東中野にて上映されるドキュメンタリー映画『無知の知』、13:00～の上映回のあと、石田朝也監督とのゲストトークに出演します。311当時の首相、官房長官、原子力安全委員会委員長、原発推進派の学者、歴代の首相etcが、カメラの前で当時を語るという衝撃のドキュメンタリー。是非ご覧ください！　詳しくは<a href=""http://brianandco.cocolog-nifty.com/blog/2014/10/jp-112-b6dd.html"" target=""_blank"">こちら</a>をご覧ください。"
ビッグイシュー（10/15発売の249号）にインタビューが掲載されました！,2014-10-15,"2014年10月15日発売のビッグイシュー249号、特集「空き家は自由空間」に、『乙女ハウス』が取り上げられ、インタビューが掲載されました！　販売場所は<a href=""http://bigissue.jp/sell/index.html"" target=""_blank"">こちら</a>にあります。定価350円のうち、180円が路上生活を余儀なくされている販売者の収入になります。街なかで見かけたらぜひご購入ください！"
『わたしと政治、ギャップを埋める！ ～現職区議会議員と徹底トーク～』開催！,2014-10-13,"2014年10月17日（金）、現職の区議会議員をお招きし、プライベートから政治の話までたっぷり伺うイベントを開催します！　会場はかがやき亭（JR西荻窪駅から徒歩約7分）。主催はdislocate。杉並区議会議員を1999年より4期勤める河津りえ子さん（民主党）と富本卓さん（自民党）がゲストです。対話をすることで、私たちと政治の""距離""を縮めようという試み。入場は無料で、杉並区外の方の参加も歓迎。詳しくは<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
『踊る善福寺』、高円寺4thで上映されます！,2014-10-12,"2014年10月22日（水）、高円寺4thで『踊る善福寺』の上映があります。上映の他、監督＆出演者による製作裏話トーク、シンガー・ソングライターの大杉雅一さんとベーシストのツムラヤキヨカズさんのライブ等、満載の企画です！　是非いらしてください！　詳しくは<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
木田節子さん手記・新聞記事をまとめた小冊子＆特製クリアファイルをDVDお買い上げ先着20名様に！,2014-10-12,"木田節子さんの手記・新聞記事をまとめた小冊子と、木田さんのメッセージ入りの特製クリアファイルを、『木田さんと原発、そして日本』DVD（日本語版または英語版）をお買い上げの方、先着20名様に差し上げます。是非この機会にお買い求めください！　ご購入は<a href=""http://www.petiteadventurefilms.com/online_shop.php"" target=""_blank"">こちら</a>から。"
『木田さんと原発、そして日本』、ベルギー・ブリュッセルで上映されます！,2014-10-12,"2014年11月29日（土）、『木田さんと原発、そして日本』（英語字幕付版）が、ベルギー・ブリュッセルのCinema Novaで上映されます。震災特集「Cinema With Us」プログラムの一環として上映されます。上映後には、監督と木田節子さんがスカイプで会場と質疑応答をします（日本時間11月30日朝6:10～！）。その様子をツイキャスで生中継するかもしれません？　詳しくはツイッター等でアナウンスします。どんな質疑応答になるのか、乞うご期待！　上映について詳しくは<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。ベルギーにお知り合いがいる方は是非お知らせくださればうれしいです。"
『さようならUR』、三鷹いのちと平和映画祭で上映されます！,2014-10-12,"2014年11月29日（土）、『さようならUR』が三鷹いのちと平和映画祭で上映されます。上映時間は後日発表しますが、おそらく午後か夕方ごろになるかと思います。上映終了後に監督トークも予定。とびきり美味しい食事とお酒が自慢の懇親会もあります！　詳しくは<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
『ホームレスごっこ』、東京・飯田橋にて上映されます！,2014-10-12,"2014年12月3日（水）、『ホームレスごっこ』が飯田橋の東京ボランティア・市民活動センターで上映されます。主催はVIDEO ACT!で、第72回VIDEO ACT!上映会～「ホームレス」とは誰か～としての上映です。『ホームレスごっこ』の他、『VJU REPORT Vol.7 ジェントリフィケーション　虚飾の影の野宿者排除』（遠藤大輔監督、23分）、『「ホームレス」と出会う子どもたち』（飯田基晴監督、30分）も上映され、上映後には3監督によるトークとディスカッションがあります。是非いらしてください！　詳しくは<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
せんだいメディアテーク「記憶と想起　イメージの家を歩く」展に参加します！,2014-10-12,"2014年11月15日（土）～2015年1月12日（月）、宮城県仙台市のせんだいメディアテーク「記憶と想起　イメージの家を歩く」展に参加します。2011年に被災地や仮設住宅で撮影した映像が6階ギャラリー4200で上映されます。詳しくは<a href=""http://www.petiteadventurefilms.com/screenings.php"" target=""_blank"">こちら</a>をご覧ください。"
