2016年8月6日,2016,201608,経産省前テントひろば・反原発美術館,2015-12-01,経産省前テントひろば・反原発美術館,東京都千代田区霞が関1-3-1<br/> 最寄駅：東京メトロ「霞が関」駅A12a出口、銀座線「虎ノ門」駅7番出口,13:00～,無料,※経産省前テントひろば・反原発美術館イベント。A3BC：反戦・反核・版画コレクティブによる版画ワークショップ。<br/> ※1945年8月6日＝殺戮目的で初めて原子爆弾が投下された日<br/> ※主催：原発いらない女たちのテントひろば～福島とともに<br/> コーディネーター：早川由美子（映画監督）<br/> ※お問い合わせ<br/> メール：petiteadventurefilms@gmail.com（早川）<br/> 電話：070-6473-1947（経産省前テントひろば）<br/>
2016年3月12日,2016,201603,経産省前テントひろば・反原発美術館,2015-12-01,経産省前テントひろば・反原発美術館,東京都千代田区霞が関1-3-1<br/> 最寄駅：東京メトロ「霞が関」駅A12a出口、銀座線「虎ノ門」駅7番出口,13:00～,無料,※経産省前テントひろば・反原発美術館イベント。A3BC：反戦・反核・版画コレクティブによる版画ワークショップ。<br/> ※2011年3月12日＝福島第一原子力発電所の1号機爆発の日<br/> ※主催：原発いらない女たちのテントひろば～福島とともに<br/> コーディネーター：早川由美子（映画監督）<br/> ※お問い合わせ<br/> メール：petiteadventurefilms@gmail.com（早川）<br/> 電話：070-6473-1947（経産省前テントひろば）
2016年2月18日,2016,201602,東京・飯田橋,2016-01-11,東京しごとセンター5階セミナー室,"東京都千代田区飯田橋3丁目10番3号<a href=""http://www.tokyoshigoto.jp/shisetsu.php?page_id=150"" target=""_blank"">[地図]</a><br/> 最寄駅：<br/> 飯田橋駅から<br/> JR中央・総武線「東口」より徒歩7分<br/> 都営地下鉄大江戸線・東京メトロ有楽町線・南北線「A2出口」より徒歩7分<br/> 東京メトロ東西線「A5出口」より徒歩3分<br/> <br/> 水道橋駅から<br/> JR中央・総武線「西口」より徒歩5分<br/> <br/> 九段下駅から<br/> 東京メトロ東西線「7番出口」より徒歩8分<br/> 東京メトロ半蔵門線・都営地下鉄新宿線「3番出口」より徒歩10分",18:30～開場、19:00～開演（終了21:00ごろ）,"1,000円（予約不要）",※「居候のドキュメンタリストに聞く」というテーマで、映像もご紹介しながら、約1時間半講演をします。<br/> ※主催：みみの会<br/> ※講演の後に懇親会もあります（希望者のみ。参加費用別途）
2015年12月19日,2015,201512,経産省前テントひろば・反原発美術館,2015-12-01,経産省前テントひろば・反原発美術館,東京都千代田区霞が関1-3-1<br/> 最寄駅：東京メトロ「霞が関」駅A12a出口、銀座線「虎ノ門」駅7番出口,13:00～,無料,※経産省前テントひろば・反原発美術館イベント。A3BC：反戦・反核・版画コレクティブによる版画ワークショップ。<br/> ※1955年12月19日＝原子力基本法公布の日<br/> ※主催：原発いらない女たちのテントひろば～福島とともに<br/> コーディネーター：早川由美子（映画監督）<br/> ※お問い合わせ<br/> メール：petiteadventurefilms@gmail.com（早川）<br/> 電話：070-6473-1947（経産省前テントひろば）
2015年12月12日,2015,201512,経産省前テントひろば・反原発美術館,2015-12-01,経産省前テントひろば・反原発美術館,東京都千代田区霞が関1-3-1<br/> 最寄駅：東京メトロ「霞が関」駅A12a出口、銀座線「虎ノ門」駅7番出口,18:00～（上映後にイギリス反戦運動とスカイプディスカッション）,無料,※映画『ブライアンと仲間たち』上映。<br/> ※上映後、映画に登場する、イギリス国会前で座り込み反戦運動を続ける人々と、スカイプでつなぎ、ディスカッションを予定（通訳あり）。<br/> ※現地の電波状況などにより、スカイプ通信がうまく行われない場合は、電話による通信及び監督トークに切り替えます。<br/> ※主催：原発いらない女たちのテントひろば～福島とともに<br/> ※お問い合わせ<br/> メール：petiteadventurefilms@gmail.com（早川）<br/> 電話：070-6473-1947（経産省前テントひろば）
2015年12月5日,2015,201512,経産省前テントひろば・反原発美術館,2015-12-01,経産省前テントひろば・反原発美術館,東京都千代田区霞が関1-3-1<br/> 最寄駅：東京メトロ「霞が関」駅A12a出口、銀座線「虎ノ門」駅7番出口,10:00～日没ごろ作品完成予定<br/> 作品完成後、両作家を囲んでギャラリートークを開催,無料,※経産省前テントひろば・反原発美術館、オープニング・イベント<br/> ※井上ヤスミチさん、長谷川直美さんによる、ライブ・ペインティング。<br/> ※ライブ・ペインティングは朝10時開始。日没ごろ作品完成予定。公開制作ですので、見学歓迎です。作品完成後は、両作家を囲んでギャラリートークを開催します。<br/> ※主催：原発いらない女たちのテントひろば～福島とともに<br/> コーディネーター：早川由美子（映画監督）<br/> ※お問い合わせ<br/> メール：petiteadventurefilms@gmail.com（早川）<br/> 電話：070-6473-1947（経産省前テントひろば）
2015年11月29日,2015,201511,三鷹いのちと平和映画祭,2015-10-28,癒しと創造のスペース 沙羅舎,"三鷹市下連雀3-1-24<br/> JR中央線･総武線「三鷹駅」南口徒歩6分 <a href=""http://www.sarasya.com/pg38.html"" target=""_blank"">[地図]</a>",①10:00～12:05　『うまれる ずっと、いっしょ。』<br/> ②12:05～13:15　お昼休憩<br/> ③13:15～13:40　『FOUR YEARS ON』（あれから4年）<br/> ④13:40～14:20　早川監督を囲んで<br/> ⑤14:35～16:35　『小さき声のカノン - 選択する人々』<br/> ⑥16:50～17:50　小さき声のカノン製作スタッフを囲んで<br/> ⑦17:50～18:00　閉会（18:00～懇親会）,"①11月29日券 = 前売り･割引対象者2,000円、当日2,500円<br/> ②2日間（11/28＆11/29通し券）前売りのみ2,500円<br/> ③11月28日券 = 前売り･割引対象者2,000円、当日2,500円<br/> ※いずれも高校生以下無料（障がい者の介助者も無料）<br/> ※割引対象者 = 大学生、障がい者、65歳以上、東日本大震災の避難者、やさい村会員（対象者の方は、当日証明書、もしくはそれに類似するものを受付でご提示ください）","※『FOUR YEARS ON』（あれから4年）が上映されます。<br/> ※上映のあと、監督トークがあります。<br/> ※映画祭のプログラム終了後、29日18:00～、同会場にて懇親会があります（事前予約制。先着20名）<br/> ※主催：三鷹いのちと平和映画祭<br/> ※映画祭の他の上映作品や、チケットのお申し込み方法など、詳細は<a href=""http://www.mitakaff.com/dai7kaieigasyousai.html"" target=""_blank"">映画祭ホームページ</a>をご覧ください。"
2015年11月22日,2015,201511,SCATセミナールーム毛呂分室,2015-09-04,SCATセミナールーム毛呂分室,埼玉県入間郡毛呂山町岩井14<br/> 池袋駅で東武東上線（急行または快速）乗車、坂戸駅で東武越生線乗換、武州長瀬駅下車（池袋駅から65分）徒歩約17分。またはタクシー（南口タクシー乗場）約8分。,13:30～17:30（午前10:00よりオープンしています）<br/> ①講演＆討論 （A室）13:30～15:00<br/>　 「今、海外派兵は何故必要か、原発再開は何故必要か」<br/> ②映画上映と監督トーク（A室）15:20～17:30<br/> 『ブライアンと仲間たち』上映＆早川由美子監督トーク<br/> ③映画上映とゲストトーク（C室）15:20～16:30<br/> 『戦争案内』上映＆島袋陽子さん（東京琉球館）トーク,プレオープン記念により入場無料！,※SCATセミナールーム20周年記念、毛呂分室プレオープンイベントとして上映されます。<br/> ※主催・問い合わせ：SCATセミナールーム運営委員会<br/> （携帯 080-5499-8909　金野さん）
2015年10月25日,2015,201510,東京･神楽坂,2015-10-06,SCATセミナールーム,新宿区天神町63 神楽坂メゾンビル2F<br/> （1Fは黒い壁の茶房。長崎チャンポンから4軒目）<br/> 最寄り駅：神楽坂駅矢来口改札より徒歩3分,13:30～第1部＝開場<br/> 14:00～『Four Years On』(あれから4年)上映<br/> 14:25～『木田さんと原発、そして日本』上映<br/> 15:30～木田節子さん×早川由美子監督トーク<br/> 17:00～第2部＝解説とお話：乱鬼龍さん(川柳作家)<br/> 17:30～『川柳人鶴彬　今に伝わるメッセージ』上映<br/> 18:30～交流会(「Loca☆Kitchen」提供のお料理を頂きながら交流)<br/> ～20:00 終了予定,"昼の部＝参加費1,000円 (定員30名・要予約)<br/> 夜の部＝参加費　無料 (定員30名)<br/> 交流会＝1,000円 (料理＆飲み物・要予約)",※主催: 詩と朗読「たきび」の会<br/> ※会場・料理準備の都合上、事前予約制です(10/23まで)<br/> ※予約申込方法:メールの件名に「10/25上映会申し込み」と明記し、お名前、参加人数、参加を希望する部(昼の部・交流会など)を書き、10月23日(金)までにお申し込みください。折り返し返事をいたします。<br/> ※予約申し込み先: takibinokai_poem@yahoo.co.jp (わかち)<br/> ※問い合わせ: 090-3067-5417(大島)/080-4146-3404(早川)
2015年8月22日,2015,201508,男女共同参画推進フォーラム,2015-08-06,NWEC（国立女性教育会館）,"埼玉県比企郡嵐山町菅谷 728<br/> 研修棟 110 号室<br/> 最寄り駅：東武東上線武蔵嵐山駅徒歩12分<a href=""http://www.nwec.jp/jp/about/access.html"" target=""_blank"">[地図]</a>",10:00～12:00（開場9:45）,資料代300円,"※「男女共同参画推進フォーラム」にて、「メディアと格闘するアーキビストたち～実践と報告より」と題したメディア･ワークショップで講演をします。詳細は<a href=""http://brianandco.cocolog-nifty.com/blog/2015/08/jp-4dde.html"" target=""_blank"">こちら</a>をご覧ください。<br/> ※主催：NWECアーキビストの会<br/> ※お問い合わせ：emanatnob@gmail.com （へいじょうさん）"
2015年8月16日,2015,201508,韓国ドキュメンタリー映画祭,2015-08-06,スキャット･セミナー･ルーム,新宿区天神町63 神楽坂メゾンビル2F<br/> （1Fは黒い壁の茶房。長崎チャンポンから4軒目）<br/> 最寄り駅：神楽坂駅矢来口改札より徒歩3分,16:30～ 開場<br/> 17:00～ 『Nogada』上映（日本語字幕つき）89分<br/> 18:30～ トーク（通訳つき）+休憩<br/> 19:00～ 『Halmakkot』上映（日本語字幕つき）89分<br/> 20:30～ トーク（通訳つき）+休憩<br/> 21:00～ 交流会<br/> 22:30 終了予定,学生・非正規労働者・無職＝500円<br/> 一般＝1000円<br/> 頂いた参加費は、現在日韓で新作制作中の、両監督へのカンパとさせていただきます！<br/> ※交流会参加は別途参加費,"※韓国ドキュメンタリー映画祭<br/> ※韓国ドキュメンタリー界を代表する、二人の監督の作品を上映＆監督来場！<br/> ※作品詳細＆監督プロフィールなどは<a href=""http://brianandco.cocolog-nifty.com/blog/2015/08/jp-816-ee86.html"" target=""_blank"">こちら</a>をご覧ください。<br/> ※主催：渡辺美樹、早川由美子"
2015年7月30日,2015,201507,熊本・上益城郡,2015-07-27,益城エリムキリスト教会,熊本県上益城郡益城町古閑540-1,13:00～,無料,主催：くまもと障害者9条の会
2015年7月12日,2015,201507,Four Years ON上映＠福岡アジア映画祭,2015-06-16,アンスティチュ・フランセ九州（旧九州日仏学館）,"福岡市中央区大名2-12-6 アンスティチュ・フランセ九州（旧九州日仏学館）5Fホール [ <a href=""http://www.institutfrancais.jp/kyushu/about/contact/"" target=""_blank"">地図</a> ]<br/> 最寄り駅：地下鉄赤坂駅3番出口そば<br/>",17:00～,"＜前売＞<br/> 1作品券 = 1,400円<br/> 5作品券 = 6,000円<br/> 10作品券 = 10,000円<br/>　　　　　　 　　　　　　 ＜当日＞<br/> 一般 = 1,800円<br/> 大学・中高・シニア60才以上 = 1,000円","※上映作品『Four Years On（あれから4年）』<br/> ※『Oh Lucy!』、『なるしまフレンド』と一緒のプログラムで上映されます（3本立て♪）。<br/> ※主催：<a href=""http://asianfilm.tank.jp/"" target=""_blank"">福岡アジア映画祭</a>"
2015年4月12日,2015,201504,インド報告会@渋家！（東京・渋谷）,2015-03-17,渋家（東京・渋谷）,渋家（東京・渋谷）:事前にメールで参加予約をされた方にのみ、住所をお知らせします。,17:00～19:00,"一般1,000円、学生500円（軽食付き♪）",※インド報告会です！ インドの映画祭、最新社会事情、驚きの社会運動、その他アジア各国の映画監督事情などなど、沢山の写真と共にお話します！<br/> ※主催：渋家<br/> ※要事前申込：お名前、人数、一般か学生かを明記の上 shibuhouseimage@gmail.com までメールをお送りください。<br/> ※定員15名
2015年3月31日,2015,201503,最新作『FOUR YEARS ON』ネット公開,2015-02-23,"ネットにて公開！視聴は<a href=""http://youtu.be/FZIVBCxu7_w"" target=""_blank"">こちら</a>から。",--,--,--,"※最新作『FOUR YEARS ON』（あれから4年）を311にあわせネット公開いたしました。英語字幕つきです。映画の詳細は<a href=""http://brianandco.cocolog-nifty.com/blog/2015/03/jp-281_anti-nuk.html"" target=""_blank"">こちら</a>をご覧ください。"
2015年3月29日,2015,201503,インド報告会@dislocate！（東京・杉並）,2015-03-17,あなたの公差転（善福寺新町商店街和田ビル4F）,東京都杉並区善福寺4-1-1（新町商店街）<br/> 和田ビル4F,18:00～20:00,無料,"※インド報告会です！ インドの映画祭、最新社会事情、驚きの社会運動などなど、沢山の写真と共にお話します！<br/> ※主催：<a href=""http://dis-locate.net/0/"" target=""_blank"">dislocate</a>"
2015年3月15日,2015,201503,インド報告会！（東京・霞が関）,2015-03-14,経産省前テントひろば,東京都千代田区霞が関1-3-1 経産省前テントひろば<br/> 最寄り駅：東京メトロ「霞が関駅」A12a出口すぐ,17:00～,--,※インド報告会です！ インドの映画祭、最新社会事情、驚きの社会運動などなど、沢山の写真と共にお話します！ インドのお土産（お菓子）もあります！<br/> ※主催：経産省前テントひろば<br/>
2015年3月12日,2015,201503,HALBWERTSZEIT映画祭（スイス・チューリッヒ）,2015-01-21,"ROTE FABRIK, Zürich","Seestrasse 395, 8038 Zürich, Switzerland",17:30～,--,※HALBWERTSZEIT映画祭（スイス・チューリッヒ）<br/> ※『木田さんと原発、そして日本』のドイツ語字幕付版の上映。（英語字幕はついていません）
2015年3月11日,2015,201503,"Ireland, Dublin",2015-03-10,YAMAMORI SUSHI内TENGU,"TENGU, at rear of Yamamori Sushi, 38/39 Lower Ormond Quay, Dublin, Ireland",①2015年3月8日(日) 18:00～22:30(18:30〜オープニングイベント)<br/> ②2015年3月9日(月)〜11日(水) 17:30〜22:30,--,"※主催：「かける」プロジェクト実行委員会<br/> ※共催：TCD Japanese Society<br/> ※後援：在アイルランド日本大使館<br/> ※「かける」プロジェクト：東日本大震災、福島第一原子力発電所事故、復興へ向けた経緯、現在の被災地の様子を伝えるプロジェクト。映像や写真等により、被災当時の様子ならびに復興への進捗状況を視覚的に展示。<br/> ※早川由美子上映作品：<a href=""http://recorder311-e.smt.jp/movies/1740/"" target=""_blank"">宮城県仙台市若林区荒浜</a>"
2015年3月7日,2015,201503,東京・東久留米,2015-02-06,東久留米市男女平等推進センター・会議室,"東久留米市本町3-9-1-102 <a href=""http://www.city.higashikurume.lg.jp/kensaku/cityguide/map/honchou_2.htm"" target=""_blank"">[地図]</a>",15:30～17:30（イベント自体は13:30～17:30）,無料（先着24名、要予約）,※主催：東久留米市男女平等推進センター<br/> ※事前予約先：電話(042-472-0061)または直接、センターヘ申込み(火曜日休館)<br/> ※イベント名「『住まいのカタチ』から暮らし方を考える」<br/> ※第1部（13:30～15:00）講座「コレクティブハウスという住まい方」- 講師：宮前眞理子さん(NPOコレクティブハウジング社 共同代表理事)<br/> ※第2部（15:30～17:30）映画上映と監督対談「『乙女ハウス』が投げかける、これからの住まいのカタチ」- 映画上映『乙女ハウス』、監督と千野紀美子さん（乙女ハウス元オーナー）の対談<br/> ※2歳～未就学児の保育あり(定員5名)
2015年3月4日,2015,201503,第11回アジア女性映画祭（インド・ニューデリー）,2015-01-21,"India International Centre, New Delhi","40, Max Mueller Marg, New Delhi - 110003",16:30～,--,"※主催：<a href=""http://iawrtindia.blogspot.in/"" target=""_blank"">第11回アジア女性映画祭</a>（インド・ニューデリー）<br/> ※『踊る善福寺』（英語字幕付版）の上映。<br/> ※監督もインドに渡り、上映後質疑応答をします！！"
2015年2月20日,2015,201502,東京・霞が関,2015-02-17,経産省前テントひろば,東京都千代田区霞が関1-3-1 経産省前テントひろば<br/> 最寄り駅：東京メトロ「霞が関駅」A12a出口すぐ,①18:30ごろ～<br/> ②19:00過ぎ～<br/> ③20:00過ぎ～<br/>,無料,"※最新作『FOUR YEARS ON』プレミア上映！<br/> ※日本で今、最も過激なストリート・アーティスト「281_Anti nuke」を追ったドキュメンタリー。映画の詳細は<a href=""http://brianandco.cocolog-nifty.com/blog/2015/02/jp-four-years-o.html"" target=""_blank"">こちら</a>をご覧ください。"
2015年2月8日,2015,201502,リバ邸原宿～ドロップアウト（ラジオ）,2015-02-08,ソラトニワ原宿スタジオ,東京都渋谷区神宮前 3-25-18 THE SHARE 1F,18:00～19:00,--,"※白濱優子さんがパーソナリティーを務める、シェアハウスをテーマにしたラジオ番組「リバ邸原宿～ドロップアウト by Liverty シーズン2～」に出演します！　ご視聴は<a href=""https://www.soraxniwa.com/tickets/a7b72630"" target=""_blank"">こちら</a>から。"
